method,data_type,dimension,sample_size,noise_level,trial,frame_error,runtime,success,initialization,gradient_norm,iterations,step_size,stopping_criterion
robust_subspace_clustering,gaussian_rotated,2,1000,0.05,6,1.968711196100383e-05,35.851011991500854,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,2,1000,0.05,7,0.00026747990104967204,32.00212812423706,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,2,1000,0.05,8,4.46163384461214e-06,30.09795904159546,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,2,1000,0.05,9,0.0005204494930235061,28.9149432182312,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,5,1000,0.05,0,0.0002177125176493148,36.61985111236572,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,5,1000,0.05,1,0.0002536342937057011,35.217775106430054,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,5,1000,0.05,2,0.0002925693200786019,34.65325999259949,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,5,1000,0.05,3,0.00014146892374388275,44.71962594985962,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,5,1000,0.05,4,0.0002384632348268674,33.504815101623535,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,5,1000,0.05,5,0.0006726571368600551,41.894148111343384,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,5,1000,0.05,6,0.0003221279801133256,30.338505029678345,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,5,1000,0.05,7,0.00024408487922847523,36.4194598197937,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,5,1000,0.05,8,0.0003147121826640484,38.02892994880676,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
